period,category,commodity,specification,region,market_scope,unit,weekly_average_price_php,observation_status,source_id,data_status
2026-09-07_to_2026-09-13,KADIWA RICE-FOR-ALL,P20 Benteng Bigas Meron Na,,NCR,DA monitored NCR markets,kg,20.00,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,IMPORTED COMMERCIAL RICE,Basmati,,NCR,DA monitored NCR markets,kg,190.00,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,IMPORTED COMMERCIAL RICE,Glutinous,,NCR,DA monitored NCR markets,kg,61.07,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,IMPORTED COMMERCIAL RICE,Japonica/Jasponica,,NCR,DA monitored NCR markets,kg,60.51,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,IMPORTED COMMERCIAL RICE,Other Special Rice,White Rice,NCR,DA monitored NCR markets,kg,59.49,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,IMPORTED COMMERCIAL RICE,Premium,5% broken,NCR,DA monitored NCR markets,kg,53.55,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,IMPORTED COMMERCIAL RICE,Well Milled,1-19% bran streak,NCR,DA monitored NCR markets,kg,48.00,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,IMPORTED COMMERCIAL RICE,Regular Milled,20-40% bran streak,NCR,DA monitored NCR markets,kg,45.25,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,LOCAL COMMERCIAL RICE,Basmati,,NCR,DA monitored NCR markets,kg,150.00,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,LOCAL COMMERCIAL RICE,Glutinous,,NCR,DA monitored NCR markets,kg,77.54,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,LOCAL COMMERCIAL RICE,Japonica/Jasponica,,NCR,DA monitored NCR markets,kg,,not_sold,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,LOCAL COMMERCIAL RICE,Other Special Rice,White Rice,NCR,DA monitored NCR markets,kg,60.16,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,LOCAL COMMERCIAL RICE,Premium,5% broken,NCR,DA monitored NCR markets,kg,54.16,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,LOCAL COMMERCIAL RICE,Well Milled,1-19% bran streak,NCR,DA monitored NCR markets,kg,48.78,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,LOCAL COMMERCIAL RICE,Regular Milled,20-40% bran streak,NCR,DA monitored NCR markets,kg,44.72,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,CORN PRODUCTS,Corn (White),"Cob, Glutinous",NCR,DA monitored NCR markets,kg,111.90,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,CORN PRODUCTS,Corn (Yellow),"Cob, Sweet Corn",NCR,DA monitored NCR markets,kg,97.03,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,CORN PRODUCTS,"Corn Grits (White, Food Grade)",,NCR,DA monitored NCR markets,kg,79.17,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,CORN PRODUCTS,"Corn Grits (Yellow, Food Grade)",,NCR,DA monitored NCR markets,kg,79.17,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,CORN PRODUCTS,"Corn Cracked (Yellow, Feed Grade)",,NCR,DA monitored NCR markets,kg,45.73,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,CORN PRODUCTS,Corn Grits (Feed Grade),,NCR,DA monitored NCR markets,kg,45.73,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,LEGUMES,Mungbean,,NCR,DA monitored NCR markets,kg,149.00,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,FISH PRODUCTS,Alumahan (Indian Mackerel),Medium (4-6 pcs/kg),NCR,DA monitored NCR markets,kg,353.67,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,FISH PRODUCTS,"Bangus, Large",Large (1-2 pcs),NCR,DA monitored NCR markets,kg,271.33,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,FISH PRODUCTS,"Bangus, Medium",Medium (3-4 pcs/kg),NCR,DA monitored NCR markets,kg,244.95,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,FISH PRODUCTS,Bonito (Frigate Tuna),,NCR,DA monitored NCR markets,kg,,unavailable,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,FISH PRODUCTS,"Galunggong, Local","Male, Medium (12-14 pcs/kg)",NCR,DA monitored NCR markets,kg,310.79,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,FISH PRODUCTS,"Galunggong, Imported","Male, Medium (12-14 pcs/kg)",NCR,DA monitored NCR markets,kg,,unavailable,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,FISH PRODUCTS,"Salmon Belly, Local",,NCR,DA monitored NCR markets,kg,,unavailable,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,FISH PRODUCTS,Sardines (Tamban),,NCR,DA monitored NCR markets,kg,153.24,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,FISH PRODUCTS,"Squid (Pusit Bisaya), Local",Medium,NCR,DA monitored NCR markets,kg,472.54,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,FISH PRODUCTS,"Tambakol (Yellow-Fin Tuna), Local","Medium, Fresh or Chilled",NCR,DA monitored NCR markets,kg,312.57,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,FISH PRODUCTS,Tilapia,Medium (5-6 pcs/kg),NCR,DA monitored NCR markets,kg,158.35,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Beef Brisket, Local",Meat with Bones,NCR,DA monitored NCR markets,kg,441.22,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Beef Rump, Local",Lean Meat/Tapadera,NCR,DA monitored NCR markets,kg,494.10,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Pork Belly (Liempo), Local",,NCR,DA monitored NCR markets,kg,377.74,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Pork Belly (Liempo), Imported",,NCR,DA monitored NCR markets,kg,306.36,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Pork Picnic Shoulder (Kasim), Local",,NCR,DA monitored NCR markets,kg,323.66,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Pork Picnic Shoulder (Kasim), Imported",,NCR,DA monitored NCR markets,kg,240.80,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Whole Chicken, Local",Fully Dressed,NCR,DA monitored NCR markets,kg,200.70,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Chicken Egg (White, Pewee)",41-45 grams/pc,NCR,DA monitored NCR markets,pc,6.17,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Chicken Egg (White, Extra Small)",46-50 grams/pc,NCR,DA monitored NCR markets,pc,6.94,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Chicken Egg (White, Small)",51-55 grams/pc,NCR,DA monitored NCR markets,pc,7.48,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Chicken Egg (White, Medium)",56-60 grams/pc,NCR,DA monitored NCR markets,pc,8.12,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Chicken Egg (White, Large)",61-65 grams/pc,NCR,DA monitored NCR markets,pc,8.73,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Chicken Egg (White, Extra Large)",66-70 grams/pc,NCR,DA monitored NCR markets,pc,9.36,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Chicken Egg (White, Jumbo)",71> grams/pc,NCR,DA monitored NCR markets,pc,10.03,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Chicken Egg (Brown, Medium)",Medium,NCR,DA monitored NCR markets,pc,10.85,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Chicken Egg (Brown, Large)",Large,NCR,DA monitored NCR markets,pc,11.50,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,BEEF PRODUCTS,"Chicken Egg (Brown, Extra Large)",Extra Large,NCR,DA monitored NCR markets,pc,11.44,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,LOWLAND VEGETABLES,Ampalaya,4-5 pcs/kg,NCR,DA monitored NCR markets,kg,183.43,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,LOWLAND VEGETABLES,"Chilli (Green), Local",Haba/Panigang,NCR,DA monitored NCR markets,kg,191.74,reported,DA-PM-2026-09-07-13,observed
2026-09-07_to_2026-09-13,LOWLAND VEGETABLES,Eggplant,3-4 Small Bundles,NCR,DA monitored NCR markets,kg,156.05,reported,DA-PM-2026-09-07-13,observed
