crop_id,display_name,production,area,farmgate,retail,sua_context,sua_scope,nccag_context,nccag_layer,nccag_specificity,demo_crop
abiu,Abiu,yes,yes,no,no,no,,no,,,no
achuete,Achuete,yes,yes,no,no,no,,no,,,no
agitway,Agitway,yes,yes,no,no,no,,no,,,no
aglomena,Aglomena,yes,yes,no,no,no,,no,,,no
alubihod,Alubihod,yes,yes,no,no,no,,no,,,no
alucon,Alucon,yes,yes,no,no,no,,no,,,no
alugbati,Alugbati,yes,yes,yes,no,no,,no,,,no
ampalaya-fruit-bitter-gourd,Ampalaya Fruit Bitter Gourd,yes,yes,yes,no,no,,no,,,no
anonas,Anonas,yes,yes,yes,no,no,,no,,,no
anthurium,Anthurium,yes,yes,yes,no,no,,no,,,no
apat-apat,Apat Apat,yes,yes,no,no,no,,no,,,no
apatot,Apatot,yes,yes,no,no,no,,no,,,no
aratelis-manzanita,Aratelis Manzanita,yes,yes,yes,no,no,,no,,,no
arius-fruit,Arius Fruit,yes,yes,no,no,no,,no,,,no
ariwat,Ariwat,yes,yes,no,no,no,,no,,,no
arrowroot,Arrowroot,yes,yes,yes,no,no,,no,,,no
asparagus,Asparagus,yes,yes,yes,no,yes,national,no,,,no
aster,Aster,yes,yes,yes,no,no,,no,,,no
atis,Atis,yes,yes,no,no,yes,national,no,,,no
avocado,Avocado,yes,yes,yes,no,yes,national,no,,,no
azucena,Azucena,yes,yes,no,no,no,,no,,,no
baby-s-breath,Baby S Breath,yes,yes,no,no,no,,no,,,no
bagbagkong-fruit,Bagbagkong Fruit,yes,yes,no,no,no,,no,,,no
balimbing,Balimbing,yes,yes,yes,no,no,,no,,,no
ballaiba,Ballaiba,yes,yes,no,no,no,,no,,,no
banaba,Banaba,yes,yes,no,no,no,,no,,,no
banana,Banana,yes,yes,no,no,yes,national,yes,Banana,direct_label,no
banana-bungulan,Banana Bungulan,yes,yes,no,no,no,,no,,,no
banana-cavendish,Banana Cavendish,yes,yes,yes,no,no,,no,,,no
banana-lakatan,Banana Lakatan,yes,yes,no,no,no,,no,,,no
banana-latundan,Banana Latundan,yes,yes,no,no,no,,no,,,no
banana-others,Banana Others,yes,yes,no,no,no,,no,,,no
banana-saba,Banana Saba,yes,yes,no,no,no,,no,,,no
bariw-fiber,Bariw Fiber,yes,yes,no,no,no,,no,,,no
basil,Basil,yes,yes,no,no,no,,no,,,no
batwan,Batwan,yes,yes,no,no,no,,no,,,no
bawing-sulasi,Bawing Sulasi,yes,yes,no,no,no,,no,,,no
beets,Beets,yes,yes,no,no,no,,no,,,no
begonia,Begonia,yes,yes,no,no,no,,no,,,no
betel-nut,Betel Nut,yes,yes,yes,no,no,,no,,,no
bignay,Bignay,yes,yes,yes,no,no,,no,,,no
black-beans,Black Beans,yes,yes,no,no,no,,no,,,no
blue-grass,Blue Grass,yes,yes,no,no,no,,no,,,no
breadfruit,Breadfruit,yes,yes,yes,no,no,,no,,,no
broccoli,Broccoli,yes,yes,yes,no,yes,national,no,,,no
bromeliad,Bromeliad,yes,yes,no,no,no,,no,,,no
cabbage,Cabbage,yes,yes,yes,yes,yes,national,no,,,no
cacao,Cacao,yes,yes,no,no,yes,national,yes,Cacao,direct_label,no
cactus,Cactus,yes,yes,no,no,no,,no,,,no
calachuci,Calachuci,yes,yes,no,no,no,,no,,,no
calamansi,Calamansi,yes,yes,yes,yes,yes,national,no,,,no
camangeg,Camangeg,yes,yes,no,no,no,,no,,,no
camatchili,Camatchili,yes,yes,yes,no,no,,no,,,no
camia-flower,Camia Flower,yes,yes,no,no,no,,no,,,no
camote-sweet-potato,Camote Sweet Potato,yes,yes,yes,no,no,,no,,,no
canistel,Canistel,yes,yes,yes,no,no,,no,,,no
carabao-grass,Carabao Grass,yes,yes,no,no,no,,no,,,no
carnation,Carnation,yes,yes,no,no,no,,no,,,no
carrot,Carrot,yes,yes,yes,no,no,,no,,,no
cashew,Cashew,yes,yes,no,no,no,,no,,,no
cassava-for-food-fresh-tubers,Cassava For Food Fresh Tubers,yes,yes,yes,no,no,,no,,,no
cassava-for-industrial-use-fresh-tubers,Cassava For Industrial Use Fresh Tubers,yes,yes,yes,no,no,,no,,,no
cassava-fresh-tubers,Cassava Fresh Tubers,yes,yes,yes,no,no,,no,,,no
castor-beans,Castor Beans,yes,yes,yes,no,no,,no,,,no
cauliflower,Cauliflower,yes,yes,yes,no,yes,national,no,,,no
celery,Celery,yes,yes,yes,no,yes,national,no,,,no
chayote-fruit,Chayote Fruit,yes,yes,yes,no,no,,no,,,no
chaysim,Chaysim,yes,yes,no,no,no,,no,,,no
chico,Chico,yes,yes,no,no,yes,national,no,,,no
chili-pepper-fruit-siling-labuyo,Chili Pepper Fruit Siling Labuyo,yes,yes,yes,no,no,,no,,,no
chinese-cabbage-wongbok-pechay-baguio,Chinese Cabbage Wongbok Pechay Baguio,yes,yes,yes,no,no,,no,,,no
chinese-malunggay,Chinese Malunggay,yes,yes,no,no,no,,no,,,no
chives,Chives,yes,yes,no,no,no,,no,,,no
chrysanthemum,Chrysanthemum,yes,yes,yes,no,no,,no,,,no
cogon,Cogon,yes,yes,no,no,no,,no,,,no
coriander,Coriander,yes,yes,no,no,no,,no,,,no
corn,Corn,yes,yes,no,no,yes,national,yes,Corn,direct_label,no
cotton,Cotton,yes,yes,no,no,yes,national,no,,,no
cowpea,Cowpea,yes,yes,no,no,no,,no,,,no
cowpea-dry,Cowpea Dry,yes,yes,no,no,no,,no,,,no
cowpea-green,Cowpea Green,yes,yes,no,no,no,,no,,,no
cucumber,Cucumber,yes,yes,yes,no,yes,national,no,,,no
d-marginata-tricolor,D Marginata Tricolor,yes,yes,no,no,no,,no,,,no
d-sanderiana-white-whitecorn,D Sanderiana White Whitecorn,yes,yes,no,no,no,,no,,,no
d-sanderiana-yellow,D Sanderiana Yellow,yes,yes,no,no,no,,no,,,no
dahlia,Dahlia,yes,yes,no,no,no,,no,,,no
daisy,Daisy,yes,yes,yes,no,no,,no,,,no
dalandan,Dalandan,yes,yes,no,no,no,,no,,,no
dawa,Dawa,yes,yes,no,no,no,,no,,,no
dracaena,Dracaena,yes,yes,no,no,no,,no,,,no
dragon-fruit,Dragon Fruit,yes,yes,yes,no,no,,no,,,no
duhat,Duhat,yes,yes,yes,no,no,,no,,,no
durian,Durian,yes,yes,yes,no,yes,national,no,,,no
eggplant,Eggplant,yes,yes,no,no,yes,national,yes,Vegetables,group_layer,yes
eugenia,Eugenia,yes,yes,no,no,no,,no,,,no
euphorbia,Euphorbia,yes,yes,yes,no,no,,no,,,no
fishtail-palm,Fishtail Palm,yes,yes,no,no,no,,no,,,no
flemingia,Flemingia,yes,yes,no,no,no,,no,,,no
florida-beauty,Florida Beauty,yes,yes,no,no,no,,no,,,no
gabi-taro,Gabi Taro,yes,yes,no,no,no,,no,,,no
garbansos-chick-pea,Garbansos Chick Pea,yes,yes,no,no,no,,no,,,no
garlic-dried-bulb,Garlic Dried Bulb,yes,yes,yes,no,no,,no,,,no
garlic-leeks,Garlic Leeks,yes,yes,no,no,no,,no,,,no
gerbera,Gerbera,yes,yes,yes,no,no,,no,,,no
ginger,Ginger,yes,yes,no,no,yes,national,no,,,no
ginseng,Ginseng,yes,yes,no,no,no,,no,,,no
gisantes-garden-pea,Gisantes Garden Pea,yes,yes,no,no,no,,no,,,no
gladiola,Gladiola,yes,yes,yes,no,no,,no,,,no
golden-melon,Golden Melon,yes,yes,yes,no,no,,no,,,no
granada,Granada,yes,yes,no,no,no,,no,,,no
grapes,Grapes,yes,yes,no,no,no,,no,,,no
grapes-green,Grapes Green,yes,yes,yes,no,no,,no,,,no
grapes-red,Grapes Red,yes,yes,yes,no,no,,no,,,no
green-corn-stalk,Green Corn Stalk,yes,yes,yes,no,no,,no,,,no
guava,Guava,yes,yes,yes,no,no,,no,,,no
guava-guapple,Guava Guapple,yes,yes,no,no,no,,no,,,no
guava-native,Guava Native,yes,yes,no,no,no,,no,,,no
guinea-grass,Guinea Grass,yes,yes,no,no,no,,no,,,no
guyabano,Guyabano,yes,yes,no,no,yes,national,no,,,no
habitchuelas-snap-beans,Habitchuelas Snap Beans,yes,yes,yes,yes,no,,no,,,no
halib-on,Halib On,yes,yes,no,no,no,,no,,,no
hanlilika,Hanlilika,yes,yes,no,no,no,,no,,,no
heliconia,Heliconia,yes,yes,no,no,no,,no,,,no
hevi,Hevi,yes,yes,no,no,no,,no,,,no
ikmo-buyo,Ikmo Buyo,yes,yes,no,no,no,,no,,,no
ilang-ilang,Ilang Ilang,yes,yes,no,no,no,,no,,,no
irrigated-palay,Irrigated Palay,yes,yes,no,no,no,,no,,,no
jackfruit-ripe,Jackfruit Ripe,yes,yes,yes,no,no,,no,,,no
julia-plant,Julia Plant,yes,yes,no,no,no,,no,,,no
jute,Jute,yes,yes,no,no,no,,no,,,no
kadios-pigeon-pea,Kadios Pigeon Pea,yes,yes,yes,no,no,,no,,,no
kalumpit,Kalumpit,yes,yes,no,no,no,,no,,,no
kamansi,Kamansi,yes,yes,yes,no,no,,no,,,no
kamias,Kamias,yes,yes,no,no,no,,no,,,no
kangkong-swamp-cabbage,Kangkong Swamp Cabbage,yes,yes,yes,no,no,,no,,,no
kapok,Kapok,yes,yes,yes,no,no,,no,,,no
karamay,Karamay,yes,yes,yes,no,no,,no,,,no
katuray,Katuray,yes,yes,no,no,no,,no,,,no
kentucky-beans,Kentucky Beans,yes,yes,no,no,no,,no,,,no
kidney-beans,Kidney Beans,yes,yes,no,no,no,,no,,,no
kidney-beans-red,Kidney Beans Red,yes,yes,no,no,no,,no,,,no
kidney-beans-white,Kidney Beans White,yes,yes,no,no,no,,no,,,no
kinchay,Kinchay,yes,yes,no,no,no,,no,,,no
