crop_id,display_name,region_id,region_label,ref_period,n_years,avg_yield_mt_per_ha,min_yield_mt_per_ha,max_yield_mt_per_ha,unit,source_id,data_status
abiu,Abiu,IV-A,REGION IV-A (CALABARZON),2021-2025,5,0.1480,0.1400,0.1500,mt_per_ha,PSA-OPENSTAT-CROPS,observed
achuete,Achuete,CAR,CORDILLERA ADMINISTRATIVE REGION (CAR),2021-2025,5,1.2770,0.6815,1.9077,mt_per_ha,PSA-OPENSTAT-CROPS,observed
achuete,Achuete,I,REGION I (ILOCOS REGION),2021-2025,5,0.4482,0.4170,0.4729,mt_per_ha,PSA-OPENSTAT-CROPS,observed
achuete,Achuete,II,REGION II (CAGAYAN VALLEY),2021-2025,5,0.8932,0.1842,1.9011,mt_per_ha,PSA-OPENSTAT-CROPS,observed
achuete,Achuete,III,REGION III (CENTRAL LUZON),2021-2025,5,1.7866,0.9442,2.5674,mt_per_ha,PSA-OPENSTAT-CROPS,observed
achuete,Achuete,IV-A,REGION IV-A (CALABARZON),2021-2025,5,1.0768,0.9325,1.2362,mt_per_ha,PSA-OPENSTAT-CROPS,observed
achuete,Achuete,MIMAROPA,MIMAROPA REGION,2021-2025,5,0.4978,0.4352,0.5556,mt_per_ha,PSA-OPENSTAT-CROPS,observed
achuete,Achuete,V,REGION V (BICOL REGION),2021-2025,5,0.1256,0.0170,0.2523,mt_per_ha,PSA-OPENSTAT-CROPS,observed
alucon,Alucon,CAR,CORDILLERA ADMINISTRATIVE REGION (CAR),2021-2025,5,1.2114,0.5233,3.7232,mt_per_ha,PSA-OPENSTAT-CROPS,observed
alucon,Alucon,I,REGION I (ILOCOS REGION),2021-2025,5,0.7374,0.7145,0.7805,mt_per_ha,PSA-OPENSTAT-CROPS,observed
alucon,Alucon,II,REGION II (CAGAYAN VALLEY),2021-2025,5,1.7047,1.5629,1.9062,mt_per_ha,PSA-OPENSTAT-CROPS,observed
alucon,Alucon,III,REGION III (CENTRAL LUZON),2021-2025,5,1.6683,1.4907,2.0014,mt_per_ha,PSA-OPENSTAT-CROPS,observed
alucon,Alucon,IV-A,REGION IV-A (CALABARZON),2021-2025,5,0.9706,0.5171,1.2267,mt_per_ha,PSA-OPENSTAT-CROPS,observed
alugbati,Alugbati,CAR,CORDILLERA ADMINISTRATIVE REGION (CAR),2021-2025,5,1.6310,1.2154,2.2067,mt_per_ha,PSA-OPENSTAT-CROPS,observed
alugbati,Alugbati,I,REGION I (ILOCOS REGION),2021-2025,5,4.1057,2.8233,5.2195,mt_per_ha,PSA-OPENSTAT-CROPS,observed
alugbati,Alugbati,II,REGION II (CAGAYAN VALLEY),2021-2025,5,3.4881,2.7927,4.3630,mt_per_ha,PSA-OPENSTAT-CROPS,observed
alugbati,Alugbati,III,REGION III (CENTRAL LUZON),2021-2025,5,9.5301,7.9768,11.0630,mt_per_ha,PSA-OPENSTAT-CROPS,observed
alugbati,Alugbati,IV-A,REGION IV-A (CALABARZON),2021-2025,5,3.6370,1.9311,5.3886,mt_per_ha,PSA-OPENSTAT-CROPS,observed
alugbati,Alugbati,MIMAROPA,MIMAROPA REGION,2021-2025,5,2.2040,1.5733,2.6518,mt_per_ha,PSA-OPENSTAT-CROPS,observed
alugbati,Alugbati,V,REGION V (BICOL REGION),2021-2025,5,0.8066,0.3915,1.2046,mt_per_ha,PSA-OPENSTAT-CROPS,observed
ampalaya-fruit-bitter-gourd,Ampalaya Fruit Bitter Gourd,CAR,CORDILLERA ADMINISTRATIVE REGION (CAR),2021-2025,5,3.5133,2.3865,4.0741,mt_per_ha,PSA-OPENSTAT-CROPS,observed
ampalaya-fruit-bitter-gourd,Ampalaya Fruit Bitter Gourd,I,REGION I (ILOCOS REGION),2021-2025,5,9.0369,8.0288,10.0130,mt_per_ha,PSA-OPENSTAT-CROPS,observed
ampalaya-fruit-bitter-gourd,Ampalaya Fruit Bitter Gourd,II,REGION II (CAGAYAN VALLEY),2021-2025,5,5.7626,5.4151,6.3738,mt_per_ha,PSA-OPENSTAT-CROPS,observed
ampalaya-fruit-bitter-gourd,Ampalaya Fruit Bitter Gourd,III,REGION III (CENTRAL LUZON),2021-2025,5,13.9757,13.3825,14.8556,mt_per_ha,PSA-OPENSTAT-CROPS,observed
ampalaya-fruit-bitter-gourd,Ampalaya Fruit Bitter Gourd,IV-A,REGION IV-A (CALABARZON),2021-2025,5,7.6915,6.8809,8.3547,mt_per_ha,PSA-OPENSTAT-CROPS,observed
ampalaya-fruit-bitter-gourd,Ampalaya Fruit Bitter Gourd,MIMAROPA,MIMAROPA REGION,2021-2025,5,5.2233,4.6744,6.3862,mt_per_ha,PSA-OPENSTAT-CROPS,observed
ampalaya-fruit-bitter-gourd,Ampalaya Fruit Bitter Gourd,V,REGION V (BICOL REGION),2021-2025,5,6.5376,5.1203,7.6427,mt_per_ha,PSA-OPENSTAT-CROPS,observed
anonas,Anonas,I,REGION I (ILOCOS REGION),2021-2025,5,0.5317,0.1864,0.9215,mt_per_ha,PSA-OPENSTAT-CROPS,observed
anonas,Anonas,II,REGION II (CAGAYAN VALLEY),2021-2025,5,0.2940,0.0820,0.6346,mt_per_ha,PSA-OPENSTAT-CROPS,observed
anonas,Anonas,MIMAROPA,MIMAROPA REGION,2021-2025,5,0.8177,0.1333,1.5000,mt_per_ha,PSA-OPENSTAT-CROPS,observed
anonas,Anonas,V,REGION V (BICOL REGION),2021-2025,5,1.2065,0.1850,2.6000,mt_per_ha,PSA-OPENSTAT-CROPS,observed
anthurium,Anthurium,CAR,CORDILLERA ADMINISTRATIVE REGION (CAR),2021-2025,5,21.1824,15.9183,36.9805,mt_per_ha,PSA-OPENSTAT-CROPS,observed
anthurium,Anthurium,II,REGION II (CAGAYAN VALLEY),2021-2025,5,0.8827,0.8045,1.0698,mt_per_ha,PSA-OPENSTAT-CROPS,observed
anthurium,Anthurium,III,REGION III (CENTRAL LUZON),2021-2025,5,7.9373,5.2200,8.8000,mt_per_ha,PSA-OPENSTAT-CROPS,observed
anthurium,Anthurium,IV-A,REGION IV-A (CALABARZON),2021-2025,5,4.8924,3.9071,5.3214,mt_per_ha,PSA-OPENSTAT-CROPS,observed
anthurium,Anthurium,MIMAROPA,MIMAROPA REGION,2021-2025,5,1.6408,1.1672,2.0000,mt_per_ha,PSA-OPENSTAT-CROPS,observed
anthurium,Anthurium,V,REGION V (BICOL REGION),2021-2025,5,1.6931,0.9947,2.6895,mt_per_ha,PSA-OPENSTAT-CROPS,observed
apatot,Apatot,I,REGION I (ILOCOS REGION),2021-2025,5,0.3838,0.3700,0.3953,mt_per_ha,PSA-OPENSTAT-CROPS,observed
apatot,Apatot,III,REGION III (CENTRAL LUZON),2021-2025,5,0.2784,0.2560,0.2960,mt_per_ha,PSA-OPENSTAT-CROPS,observed
aratelis-manzanita,Aratelis Manzanita,I,REGION I (ILOCOS REGION),2021-2025,5,0.2744,0.2399,0.2999,mt_per_ha,PSA-OPENSTAT-CROPS,observed
aratelis-manzanita,Aratelis Manzanita,II,REGION II (CAGAYAN VALLEY),2021-2025,5,0.2480,0.2146,0.3126,mt_per_ha,PSA-OPENSTAT-CROPS,observed
aratelis-manzanita,Aratelis Manzanita,III,REGION III (CENTRAL LUZON),2021-2025,5,0.6378,0.4300,0.9039,mt_per_ha,PSA-OPENSTAT-CROPS,observed
aratelis-manzanita,Aratelis Manzanita,IV-A,REGION IV-A (CALABARZON),2021-2025,5,0.5280,0.5097,0.5803,mt_per_ha,PSA-OPENSTAT-CROPS,observed
aratelis-manzanita,Aratelis Manzanita,MIMAROPA,MIMAROPA REGION,2021-2025,5,2.0074,0.7406,2.4680,mt_per_ha,PSA-OPENSTAT-CROPS,observed
aratelis-manzanita,Aratelis Manzanita,V,REGION V (BICOL REGION),2021-2025,5,1.2173,1.0434,1.4434,mt_per_ha,PSA-OPENSTAT-CROPS,observed
ariwat,Ariwat,II,REGION II (CAGAYAN VALLEY),2021-2025,5,1.9970,0.5556,3.7391,mt_per_ha,PSA-OPENSTAT-CROPS,observed
arrowroot,Arrowroot,I,REGION I (ILOCOS REGION),2021-2025,5,1.9060,1.7143,2.0658,mt_per_ha,PSA-OPENSTAT-CROPS,observed
arrowroot,Arrowroot,III,REGION III (CENTRAL LUZON),2021-2025,5,1.0552,0.7800,1.4206,mt_per_ha,PSA-OPENSTAT-CROPS,observed
arrowroot,Arrowroot,IV-A,REGION IV-A (CALABARZON),2021-2025,5,3.2403,2.7715,3.7511,mt_per_ha,PSA-OPENSTAT-CROPS,observed
arrowroot,Arrowroot,MIMAROPA,MIMAROPA REGION,2021-2025,5,9.7443,9.0080,10.8676,mt_per_ha,PSA-OPENSTAT-CROPS,observed
asparagus,Asparagus,III,REGION III (CENTRAL LUZON),2021-2025,5,3.3545,2.8050,3.9333,mt_per_ha,PSA-OPENSTAT-CROPS,observed
aster,Aster,CAR,CORDILLERA ADMINISTRATIVE REGION (CAR),2021-2025,5,23.1262,16.9575,37.9717,mt_per_ha,PSA-OPENSTAT-CROPS,observed
aster,Aster,II,REGION II (CAGAYAN VALLEY),2021-2025,5,11.3565,10.8696,12.0000,mt_per_ha,PSA-OPENSTAT-CROPS,observed
aster,Aster,IV-A,REGION IV-A (CALABARZON),2021-2025,5,23.7474,17.9191,28.8718,mt_per_ha,PSA-OPENSTAT-CROPS,observed
aster,Aster,MIMAROPA,MIMAROPA REGION,2021-2025,5,2.6061,1.7235,3.4000,mt_per_ha,PSA-OPENSTAT-CROPS,observed
aster,Aster,V,REGION V (BICOL REGION),2021-2025,5,6.4042,2.6125,8.3126,mt_per_ha,PSA-OPENSTAT-CROPS,observed
atis,Atis,CAR,CORDILLERA ADMINISTRATIVE REGION (CAR),2021-2025,5,1.0015,0.4688,1.3817,mt_per_ha,PSA-OPENSTAT-CROPS,observed
atis,Atis,I,REGION I (ILOCOS REGION),2021-2025,5,2.3175,2.1987,2.4522,mt_per_ha,PSA-OPENSTAT-CROPS,observed
atis,Atis,II,REGION II (CAGAYAN VALLEY),2021-2025,5,2.9125,2.2663,3.7190,mt_per_ha,PSA-OPENSTAT-CROPS,observed
atis,Atis,III,REGION III (CENTRAL LUZON),2021-2025,5,0.6540,0.5853,0.7363,mt_per_ha,PSA-OPENSTAT-CROPS,observed
atis,Atis,IV-A,REGION IV-A (CALABARZON),2021-2025,5,0.1692,0.1499,0.1784,mt_per_ha,PSA-OPENSTAT-CROPS,observed
atis,Atis,MIMAROPA,MIMAROPA REGION,2021-2025,5,1.9271,0.1410,2.5906,mt_per_ha,PSA-OPENSTAT-CROPS,observed
atis,Atis,V,REGION V (BICOL REGION),2021-2025,5,0.7552,0.3036,1.3373,mt_per_ha,PSA-OPENSTAT-CROPS,observed
avocado,Avocado,CAR,CORDILLERA ADMINISTRATIVE REGION (CAR),2021-2025,5,4.1416,2.6780,4.8645,mt_per_ha,PSA-OPENSTAT-CROPS,observed
avocado,Avocado,I,REGION I (ILOCOS REGION),2021-2025,5,8.9449,8.6436,9.2053,mt_per_ha,PSA-OPENSTAT-CROPS,observed
avocado,Avocado,II,REGION II (CAGAYAN VALLEY),2021-2025,5,5.3139,5.0716,5.5332,mt_per_ha,PSA-OPENSTAT-CROPS,observed
avocado,Avocado,III,REGION III (CENTRAL LUZON),2021-2025,5,4.4138,2.7936,5.3046,mt_per_ha,PSA-OPENSTAT-CROPS,observed
avocado,Avocado,IV-A,REGION IV-A (CALABARZON),2021-2025,5,2.3389,2.1028,2.6253,mt_per_ha,PSA-OPENSTAT-CROPS,observed
avocado,Avocado,MIMAROPA,MIMAROPA REGION,2021-2025,5,4.2174,2.7036,6.3230,mt_per_ha,PSA-OPENSTAT-CROPS,observed
avocado,Avocado,V,REGION V (BICOL REGION),2021-2025,5,1.3824,1.1341,1.6344,mt_per_ha,PSA-OPENSTAT-CROPS,observed
azucena,Azucena,IV-A,REGION IV-A (CALABARZON),2021-2025,5,8.6214,8.1322,9.3550,mt_per_ha,PSA-OPENSTAT-CROPS,observed
azucena,Azucena,V,REGION V (BICOL REGION),2021-2025,5,0.5000,0.4500,0.5500,mt_per_ha,PSA-OPENSTAT-CROPS,observed
baby-s-breath,Baby S Breath,CAR,CORDILLERA ADMINISTRATIVE REGION (CAR),2021-2025,5,4.1842,3.4514,4.6600,mt_per_ha,PSA-OPENSTAT-CROPS,observed
baby-s-breath,Baby S Breath,MIMAROPA,MIMAROPA REGION,2021-2025,5,0.9167,0.5730,1.3360,mt_per_ha,PSA-OPENSTAT-CROPS,observed
balimbing,Balimbing,I,REGION I (ILOCOS REGION),2021-2025,5,1.1729,0.8424,1.6544,mt_per_ha,PSA-OPENSTAT-CROPS,observed
balimbing,Balimbing,II,REGION II (CAGAYAN VALLEY),2021-2025,5,0.1286,0.0721,0.2692,mt_per_ha,PSA-OPENSTAT-CROPS,observed
balimbing,Balimbing,III,REGION III (CENTRAL LUZON),2021-2025,5,2.0051,0.7959,5.8000,mt_per_ha,PSA-OPENSTAT-CROPS,observed
balimbing,Balimbing,IV-A,REGION IV-A (CALABARZON),2021-2025,5,0.7959,0.0333,2.1410,mt_per_ha,PSA-OPENSTAT-CROPS,observed
balimbing,Balimbing,MIMAROPA,MIMAROPA REGION,2021-2025,5,1.2566,0.7745,2.2640,mt_per_ha,PSA-OPENSTAT-CROPS,observed
balimbing,Balimbing,V,REGION V (BICOL REGION),2021-2025,5,2.2580,1.1835,3.1141,mt_per_ha,PSA-OPENSTAT-CROPS,observed
ballaiba,Ballaiba,I,REGION I (ILOCOS REGION),2021-2025,5,0.6239,0.5736,0.7005,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banaba,Banaba,I,REGION I (ILOCOS REGION),2021-2025,5,0.0694,0.0596,0.0851,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banaba,Banaba,II,REGION II (CAGAYAN VALLEY),2021-2025,5,0.9024,0.5400,1.3561,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banaba,Banaba,III,REGION III (CENTRAL LUZON),2021-2025,5,1.8825,0.9300,2.8189,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banaba,Banaba,IV-A,REGION IV-A (CALABARZON),2021-2025,5,2.3591,1.3565,4.1215,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banaba,Banaba,MIMAROPA,MIMAROPA REGION,2021-2025,5,1.6038,1.4200,1.7839,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banaba,Banaba,V,REGION V (BICOL REGION),2021-2025,5,1.5282,1.1342,1.8233,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana,Banana,CAR,CORDILLERA ADMINISTRATIVE REGION (CAR),2021-2025,5,6.9026,6.1431,7.6362,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana,Banana,I,REGION I (ILOCOS REGION),2021-2025,5,5.9430,5.6205,6.2359,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana,Banana,II,REGION II (CAGAYAN VALLEY),2021-2025,5,12.4410,11.4702,12.9248,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana,Banana,III,REGION III (CENTRAL LUZON),2021-2025,5,7.9234,7.1604,8.3831,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana,Banana,IV-A,REGION IV-A (CALABARZON),2021-2025,5,3.3262,3.1287,3.5962,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana,Banana,MIMAROPA,MIMAROPA REGION,2021-2025,5,4.0046,2.9681,5.5958,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana,Banana,V,REGION V (BICOL REGION),2021-2025,5,2.9369,2.6029,3.3666,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana-bungulan,Banana Bungulan,CAR,CORDILLERA ADMINISTRATIVE REGION (CAR),2021-2025,5,5.4014,3.9631,6.6118,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana-bungulan,Banana Bungulan,I,REGION I (ILOCOS REGION),2021-2025,5,5.7483,5.3024,6.3047,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana-bungulan,Banana Bungulan,II,REGION II (CAGAYAN VALLEY),2021-2025,5,9.5264,8.1127,10.5051,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana-bungulan,Banana Bungulan,III,REGION III (CENTRAL LUZON),2021-2025,5,5.1120,4.0425,5.9160,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana-bungulan,Banana Bungulan,IV-A,REGION IV-A (CALABARZON),2021-2025,5,1.6579,1.2560,1.9365,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana-bungulan,Banana Bungulan,MIMAROPA,MIMAROPA REGION,2021-2025,5,2.1210,1.8551,2.4891,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana-bungulan,Banana Bungulan,V,REGION V (BICOL REGION),2021-2025,5,3.8583,3.0889,4.8668,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana-cavendish,Banana Cavendish,II,REGION II (CAGAYAN VALLEY),2021-2025,5,16.9657,15.4049,17.9605,mt_per_ha,PSA-OPENSTAT-CROPS,observed
banana-cavendish,Banana Cavendish,IV-A,REGION IV-A (CALABARZON),2021-2025,5,13.2190,0.1373,26.3829,mt_per_ha,PSA-OPENSTAT-CROPS,observed
